streak_id,sign,length,start_time,end_time,pnl_r,pnl_usd,start_setup_id,end_setup_id
213,loss,2,2025-10-28 21:30:00+00:00,2025-10-28 23:15:00+00:00,-1.5513976555455349,-46.541929666366045,XAUUSD_26250_LONG_5470,XAUUSD_26250_LONG_5470
214,win,3,2025-10-29 08:00:00+00:00,2025-10-29 09:45:00+00:00,9.0,270.0,GBPUSD_25531_SHORT_5264,GBPUSD_25531_SHORT_5264
215,loss,4,2025-10-29 10:00:00+00:00,2025-10-29 21:00:00+00:00,-4.0,-120.0,EURUSD_25537_SHORT_5428,XAUUSD_26343_SHORT_5489
216,win,2,2025-10-29 21:30:00+00:00,2025-10-29 22:30:00+00:00,6.0,180.0,XAUUSD_26343_SHORT_5489,XAUUSD_26343_SHORT_5489
217,loss,1,2025-10-29 23:30:00+00:00,2025-10-29 23:30:00+00:00,-1.0,-30.0,EURUSD_25589_SHORT_5443,EURUSD_25589_SHORT_5443
218,win,1,2025-10-30 01:00:00+00:00,2025-10-30 01:00:00+00:00,3.0,90.0,XAUUSD_26352_SHORT_5490,XAUUSD_26352_SHORT_5490
219,loss,2,2025-10-30 01:45:00+00:00,2025-10-30 01:45:00+00:00,-0.9773802179723563,-29.321406539170688,EURUSD_25589_SHORT_5443,EURUSD_25589_SHORT_5443
220,win,5,2025-10-30 02:45:00+00:00,2025-10-30 16:00:00+00:00,10.379049972542564,311.371499176277,XAUUSD_26352_SHORT_5490,GBPUSD_25651_SHORT_5292
221,loss,1,2025-10-30 21:00:00+00:00,2025-10-30 21:00:00+00:00,-1.0,-30.0,XAUUSD_26427_LONG_5510,XAUUSD_26427_LONG_5510
222,win,2,2025-10-31 01:30:00+00:00,2025-10-31 01:30:00+00:00,1.6148028092922466,48.4440842787674,XAUUSD_26427_LONG_5510,XAUUSD_26427_LONG_5510
223,loss,2,2025-10-31 09:30:00+00:00,2025-10-31 09:30:00+00:00,-2.0,-60.0,GBPUSD_25729_SHORT_5307,GBPUSD_25729_SHORT_5307
224,win,1,2025-10-31 12:45:00+00:00,2025-10-31 12:45:00+00:00,0.8030821917808119,24.09246575342436,GBPUSD_25729_SHORT_5307,GBPUSD_25729_SHORT_5307
225,loss,12,2025-11-05 00:45:00+00:00,2025-11-07 18:15:00+00:00,-9.525707683419926,-285.77123050259775,GBPUSD_25969_SHORT_5362,XAUUSD_26978_SHORT_5626
226,win,2,2025-11-11 15:15:00+00:00,2025-11-11 15:15:00+00:00,6.0,180.0,EURUSD_26418_LONG_5619,EURUSD_26418_LONG_5619
227,loss,1,2025-11-11 17:00:00+00:00,2025-11-11 17:00:00+00:00,-1.0,-30.0,GBPUSD_26430_LONG_5478,GBPUSD_26430_LONG_5478
228,win,3,2025-11-11 17:00:00+00:00,2025-11-11 20:15:00+00:00,2.0149477099531405,60.448431298594215,EURUSD_26418_LONG_5619,GBPUSD_26430_LONG_5478
229,loss,3,2025-11-13 11:30:00+00:00,2025-11-13 15:00:00+00:00,-2.1872370266479773,-65.61711079943932,XAUUSD_27321_LONG_5705,XAUUSD_27321_LONG_5705
230,win,6,2025-11-13 18:45:00+00:00,2025-11-13 21:15:00+00:00,9.598125016740145,287.9437505022043,EURUSD_26624_LONG_5663,EURUSD_26627_LONG_5664
231,loss,3,2025-11-19 09:45:00+00:00,2025-11-19 09:45:00+00:00,-3.0,-90.0,EURUSD_26975_LONG_5737,EURUSD_26975_LONG_5737
232,win,3,2025-11-19 12:45:00+00:00,2025-11-19 15:15:00+00:00,4.431701972242622,132.95105916727866,GBPUSD_26986_SHORT_5605,GBPUSD_26986_SHORT_5605
233,loss,3,2025-11-19 17:15:00+00:00,2025-11-19 17:45:00+00:00,-3.0,-90.0,XAUUSD_27695_LONG_5791,XAUUSD_27695_LONG_5791
234,win,3,2025-11-19 22:15:00+00:00,2025-11-19 22:15:00+00:00,4.641058747579116,139.2317624273735,GBPUSD_27015_SHORT_5608,GBPUSD_27015_SHORT_5608
235,loss,15,2025-11-20 18:00:00+00:00,2025-11-26 17:30:00+00:00,-15.0,-450.0,XAUUSD_27799_LONG_5815,XAUUSD_28170_SHORT_5894
236,win,3,2025-11-26 21:45:00+00:00,2025-11-26 21:45:00+00:00,0.8470744680852349,25.41223404255705,EURUSD_27493_LONG_5858,EURUSD_27493_LONG_5858
237,loss,6,2025-11-27 19:30:00+00:00,2025-11-28 11:30:00+00:00,-4.481809242871136,-134.45427728613407,EURUSD_27588_LONG_5874,GBPUSD_27652_SHORT_5741
238,win,4,2025-12-03 09:00:00+00:00,2025-12-03 09:15:00+00:00,12.0,360.0,GBPUSD_27933_LONG_5799,GBPUSD_27937_LONG_5800
239,loss,3,2025-12-03 10:00:00+00:00,2025-12-03 10:15:00+00:00,-3.0,-90.0,EURUSD_27937_LONG_5951,GBPUSD_27937_LONG_5800
240,win,2,2025-12-03 10:45:00+00:00,2025-12-03 10:45:00+00:00,6.0,180.0,GBPUSD_27937_LONG_5800,GBPUSD_27933_LONG_5799
241,loss,6,2025-12-03 22:30:00+00:00,2025-12-04 19:15:00+00:00,-5.295774647887252,-158.87323943661755,EURUSD_27984_LONG_5961,GBPUSD_28066_LONG_5834
242,win,2,2025-12-05 09:00:00+00:00,2025-12-05 09:30:00+00:00,6.0,180.0,EURUSD_28127_LONG_5995,EURUSD_28127_LONG_5995
