setup_id,bar_idx,time,reason
EURUSD_1266_LONG_276,1273,2024-11-06 08:00:00+00:00,FVG_INVALIDATED
EURUSD_1272_SHORT_277,1284,2024-11-06 10:45:00+00:00,FVG_INVALIDATED
EURUSD_1274_SHORT_278,1283,2024-11-06 10:30:00+00:00,FVG_INVALIDATED
EURUSD_1278_LONG_279,1294,2024-11-06 13:15:00+00:00,FVG_INVALIDATED
EURUSD_1284_LONG_280,1289,2024-11-06 12:00:00+00:00,FVG_INVALIDATED
EURUSD_1293_SHORT_281,1322,2024-11-06 20:15:00+00:00,OPPOSITE_CHOCH
EURUSD_1294_SHORT_282,1322,2024-11-06 20:15:00+00:00,OPPOSITE_CHOCH
EURUSD_1295_SHORT_283,1312,2024-11-06 17:45:00+00:00,FVG_INVALIDATED
EURUSD_1299_SHORT_285,1303,2024-11-06 15:30:00+00:00,FVG_INVALIDATED
EURUSD_1313_LONG_288,1314,2024-11-06 18:15:00+00:00,FVG_INVALIDATED
EURUSD_1315_SHORT_289,1317,2024-11-06 19:00:00+00:00,FVG_INVALIDATED
EURUSD_1318_LONG_290,1320,2024-11-06 19:45:00+00:00,FVG_INVALIDATED
EURUSD_1322_LONG_291,1327,2024-11-06 21:30:00+00:00,FVG_INVALIDATED
EURUSD_1326_SHORT_292,1358,2024-11-07 05:15:00+00:00,OPPOSITE_BOS
EURUSD_1341_LONG_295,1348,2024-11-07 02:45:00+00:00,OPPOSITE_CHOCH
EURUSD_1342_LONG_296,1346,2024-11-07 02:15:00+00:00,FVG_INVALIDATED
EURUSD_1351_SHORT_298,1353,2024-11-07 04:00:00+00:00,FVG_INVALIDATED
EURUSD_1354_LONG_299,1418,2024-11-07 20:15:00+00:00,TTL_EXPIRED
EURUSD_1355_LONG_300,1419,2024-11-07 20:30:00+00:00,TTL_EXPIRED
EURUSD_1360_LONG_302,1361,2024-11-07 06:00:00+00:00,FVG_INVALIDATED
EURUSD_1384_SHORT_304,1385,2024-11-07 12:00:00+00:00,FVG_INVALIDATED
EURUSD_1386_LONG_305,1387,2024-11-07 12:30:00+00:00,FVG_INVALIDATED
EURUSD_1394_LONG_307,1422,2024-11-07 21:15:00+00:00,OPPOSITE_BOS
EURUSD_1395_LONG_308,1422,2024-11-07 21:15:00+00:00,OPPOSITE_BOS
EURUSD_1397_LONG_309,1422,2024-11-07 21:15:00+00:00,OPPOSITE_BOS
EURUSD_1411_SHORT_313,1414,2024-11-07 19:15:00+00:00,FVG_INVALIDATED
EURUSD_1415_LONG_314,1421,2024-11-07 21:00:00+00:00,FVG_INVALIDATED
EURUSD_1422_SHORT_315,1425,2024-11-07 22:00:00+00:00,OPPOSITE_BOS
EURUSD_1426_LONG_316,1427,2024-11-07 22:30:00+00:00,FVG_INVALIDATED
EURUSD_1433_LONG_317,1437,2024-11-08 01:00:00+00:00,FVG_INVALIDATED
EURUSD_1436_LONG_318,1437,2024-11-08 01:00:00+00:00,FVG_INVALIDATED
EURUSD_1447_SHORT_322,1448,2024-11-08 03:45:00+00:00,FVG_INVALIDATED
EURUSD_1449_LONG_323,1451,2024-11-08 04:30:00+00:00,FVG_INVALIDATED
EURUSD_1452_SHORT_324,1453,2024-11-08 05:00:00+00:00,FVG_INVALIDATED
EURUSD_1454_LONG_325,1455,2024-11-08 05:30:00+00:00,FVG_INVALIDATED
EURUSD_1466_SHORT_327,1469,2024-11-08 09:00:00+00:00,FVG_INVALIDATED
EURUSD_1481_SHORT_328,1485,2024-11-08 13:00:00+00:00,FVG_INVALIDATED
EURUSD_1485_LONG_329,1489,2024-11-08 14:00:00+00:00,FVG_INVALIDATED
EURUSD_1486_LONG_330,1489,2024-11-08 14:00:00+00:00,FVG_INVALIDATED
EURUSD_1487_LONG_331,1488,2024-11-08 13:45:00+00:00,FVG_INVALIDATED
EURUSD_1489_SHORT_332,1537,2024-11-11 03:00:00+00:00,OPPOSITE_CHOCH
EURUSD_1490_SHORT_333,1537,2024-11-11 03:00:00+00:00,OPPOSITE_CHOCH
EURUSD_1496_SHORT_335,1498,2024-11-08 16:15:00+00:00,FVG_INVALIDATED
EURUSD_1506_SHORT_338,1537,2024-11-11 03:00:00+00:00,OPPOSITE_CHOCH
EURUSD_1507_SHORT_339,1537,2024-11-11 03:00:00+00:00,OPPOSITE_CHOCH
EURUSD_1509_SHORT_340,1537,2024-11-11 03:00:00+00:00,OPPOSITE_CHOCH
EURUSD_1510_SHORT_341,1513,2024-11-08 20:00:00+00:00,FVG_INVALIDATED
EURUSD_1513_LONG_342,1515,2024-11-08 20:30:00+00:00,FVG_INVALIDATED
EURUSD_1524_LONG_343,1525,2024-11-11 00:00:00+00:00,FVG_INVALIDATED
EURUSD_1525_SHORT_344,1534,2024-11-11 02:15:00+00:00,FVG_INVALIDATED
EURUSD_1526_SHORT_345,1534,2024-11-11 02:15:00+00:00,FVG_INVALIDATED
EURUSD_1538_LONG_347,1547,2024-11-11 05:30:00+00:00,FVG_INVALIDATED
EURUSD_1563_SHORT_350,1617,2024-11-11 23:00:00+00:00,OPPOSITE_BOS
EURUSD_1564_SHORT_351,1617,2024-11-11 23:00:00+00:00,OPPOSITE_BOS
EURUSD_1565_SHORT_352,1617,2024-11-11 23:00:00+00:00,OPPOSITE_BOS
EURUSD_1571_SHORT_353,1574,2024-11-11 12:15:00+00:00,FVG_INVALIDATED
EURUSD_1573_LONG_354,1576,2024-11-11 12:45:00+00:00,FVG_INVALIDATED
EURUSD_1577_SHORT_355,1617,2024-11-11 23:00:00+00:00,OPPOSITE_BOS
EURUSD_1586_SHORT_357,1589,2024-11-11 16:00:00+00:00,FVG_INVALIDATED
EURUSD_1587_SHORT_358,1589,2024-11-11 16:00:00+00:00,FVG_INVALIDATED
EURUSD_1590_LONG_359,1591,2024-11-11 16:30:00+00:00,OPPOSITE_BOS
EURUSD_1592_SHORT_360,1599,2024-11-11 18:30:00+00:00,FVG_INVALIDATED
EURUSD_1597_LONG_361,1636,2024-11-12 03:45:00+00:00,OPPOSITE_CHOCH
EURUSD_1598_LONG_362,1606,2024-11-11 20:15:00+00:00,FVG_INVALIDATED
EURUSD_1618_LONG_363,1619,2024-11-11 23:30:00+00:00,FVG_INVALIDATED
EURUSD_1621_SHORT_364,1622,2024-11-12 00:15:00+00:00,FVG_INVALIDATED
EURUSD_1628_LONG_366,1630,2024-11-12 02:15:00+00:00,FVG_INVALIDATED
EURUSD_1637_SHORT_368,1638,2024-11-12 04:15:00+00:00,FVG_INVALIDATED
EURUSD_1673_LONG_371,1677,2024-11-12 14:00:00+00:00,FVG_INVALIDATED
EURUSD_1674_LONG_372,1676,2024-11-12 13:45:00+00:00,FVG_INVALIDATED
EURUSD_1678_SHORT_373,1680,2024-11-12 14:45:00+00:00,FVG_INVALIDATED
EURUSD_1696_SHORT_375,1701,2024-11-12 20:00:00+00:00,FVG_INVALIDATED
EURUSD_1701_LONG_376,1749,2024-11-13 08:00:00+00:00,OPPOSITE_CHOCH
EURUSD_1713_LONG_377,1722,2024-11-13 01:15:00+00:00,FVG_INVALIDATED
EURUSD_1717_SHORT_378,1731,2024-11-13 03:30:00+00:00,OPPOSITE_BOS
EURUSD_1726_SHORT_379,1729,2024-11-13 03:00:00+00:00,FVG_INVALIDATED
